976.9651,-1.4720,-701.5720,0.0037,0.1765,0.0559,0.0529
976.9651,-1.4721,-450.7860,0.0047,0.1765,0.0559,0.0529
751.0603,179.2567,-200.0496,0.0126,1.0000,0.9500,0.9000
751.0782,179.2624,-39.5756,0.0115,1.0000,0.9500,0.9000
976.9653,-1.4722,301.5722,0.0037,0.1765,0.0559,0.0529
1368.2122,92.7151,-1014.4697,0.0018,0.4667,0.4247,0.3847
1603.9301,-1.4720,-701.5720,0.0016,0.1765,0.0559,0.0529
1603.9303,-1.4721,-200.0000,0.0018,0.1765,0.0559,0.0529
1603.9305,-1.4722,301.5722,0.0016,0.1765,0.0559,0.0529
1365.7561,93.6976,612.5049,0.0018,0.7373,0.3800,0.1412
1382.0030,500.0000,-1025.6393,0.0019,0.6000,0.5700,0.5400
1649.4117,500.0000,-719.8047,0.0017,0.1176,0.2459,0.1341
1649.4117,500.0000,-200.0000,0.0020,0.1176,0.2459,0.1341
1649.4117,500.0000,319.8047,0.0017,0.1176,0.2459,0.1341
1337.1203,500.0110,589.5694,0.0021,0.4471,0.4247,0.4024
725.7316,650.1926,-500.5853,0.0131,0.8980,0.8531,0.8082
725.7315,650.1926,-350.2926,0.0179,0.8980,0.8531,0.8082
725.7314,650.1926,-200.0000,0.0204,0.8980,0.8531,0.8082
725.7314,650.1925,-49.7075,0.0179,0.8980,0.8531,0.8082
725.7313,650.1925,100.5850,0.0131,0.8980,0.8531,0.8082
537.8657,650.1926,-350.2926,0.0414,0.8980,0.8531,0.8082
537.8657,650.1926,-275.1463,0.0525,0.8980,0.8531,0.8082
537.8657,650.1926,-200.0000,0.0576,0.8980,0.8531,0.8082
537.8657,650.1926,-124.8537,0.0525,0.8980,0.8531,0.8082
537.8657,650.1925,-49.7075,0.0414,0.8980,0.8531,0.8082
-276.9651,-1.4720,-701.5720,0.0037,0.1765,0.0559,0.0529
-276.9651,-1.4721,-450.7860,0.0047,0.1765,0.0559,0.0529
-276.9652,-1.4721,-200.0000,0.0052,0.1765,0.0559,0.0529
-276.9652,-1.4722,50.7861,0.0047,0.1765,0.0559,0.0529
-276.9653,-1.4722,301.5722,0.0037,0.1765,0.0559,0.0529
-603.9143,118.3526,-963.2309,0.0020,0.6000,0.5700,0.5400
-903.9301,-1.4720,-701.5720,0.0016,0.1765,0.0559,0.0529
-470.7077,171.6774,-199.9843,0.0043,0.6392,0.3800,0.1165
-903.9305,-1.4722,301.5722,0.0016,0.1765,0.0559,0.0529
-584.4326,126.2462,547.6530,0.0021,0.0471,0.0447,0.0424
-691.3337,500.0000,-1033.1112,0.0019,0.6000,0.5700,0.5400
-946.8118,500.0000,-718.6897,0.0017,0.6392,0.5700,0.5471
-470.4164,499.9983,-200.0000,0.0050,1.0000,0.9500,0.9000
-946.7939,500.0000,318.7200,0.0017,0.6392,0.5700,0.5471
-644.0509,500.0000,595.1464,0.0021,0.6392,0.5700,0.5471
-25.7316,650.1926,-500.5853,0.0131,0.8980,0.8531,0.8082
-25.7315,650.1926,-350.2926,0.0179,0.8980,0.8531,0.8082
